year,month,day,hour,temp,temp_source,rhum,rhum_source,prcp,prcp_source,wdir,wdir_source,wspd,wspd_source,wpgt,wpgt_source,pres,pres_source,cldc,cldc_source,coco,coco_source
2022,1,1,0,27.0,metar,70,metar,,,328,dwd_mosmix,4.0,metar,,,1010.0,metar,,,18,dwd_mosmix
2022,1,1,1,27.0,isd_lite,70,isd_lite,,,321,dwd_mosmix,3.6,isd_lite,,,1011.0,metar,,,18,dwd_mosmix
2022,1,1,2,25.0,isd_lite,78,isd_lite,,,316,dwd_mosmix,1.8,isd_lite,,,1012.0,metar,,,18,dwd_mosmix
2022,1,1,3,24.0,isd_lite,83,isd_lite,,,360,metar,1.8,isd_lite,,,1012.0,metar,,,7,dwd_mosmix
2022,1,1,4,23.0,isd_lite,83,isd_lite,,,360,isd_lite,5.4,isd_lite,,,1012.0,metar,,,18,dwd_mosmix
2022,1,1,5,22.0,isd_lite,88,isd_lite,,,80,isd_lite,5.4,isd_lite,,,1012.0,metar,,,18,dwd_mosmix
2022,1,1,6,23.0,isd_lite,83,isd_lite,,,70,isd_lite,5.4,isd_lite,,,1012.0,metar,,,8,dwd_mosmix
2022,1,1,7,22.0,isd_lite,83,isd_lite,,,70,isd_lite,9.4,isd_lite,,,1011.0,metar,,,8,dwd_mosmix
2022,1,1,8,23.0,isd_lite,78,isd_lite,,,50,isd_lite,5.4,isd_lite,,,1011.0,metar,,,8,dwd_mosmix
2022,1,1,9,22.0,isd_lite,83,isd_lite,,,50,isd_lite,5.4,isd_lite,,,1011.0,metar,,,8,dwd_mosmix
2022,1,1,10,21.0,isd_lite,88,isd_lite,,,70,isd_lite,5.4,isd_lite,,,1012.0,metar,,,8,dwd_mosmix
2022,1,1,11,22.0,isd_lite,83,isd_lite,,,80,isd_lite,7.6,isd_lite,,,1012.0,metar,,,8,dwd_mosmix
2022,1,1,12,21.0,isd_lite,88,isd_lite,,,70,isd_lite,7.6,isd_lite,,,1012.0,metar,,,8,dwd_mosmix
2022,1,1,13,22.0,isd_lite,83,isd_lite,,,50,isd_lite,5.4,isd_lite,,,1012.0,metar,,,8,dwd_mosmix
2022,1,1,14,26.0,isd_lite,70,isd_lite,,,40,isd_lite,9.4,isd_lite,,,1013.0,metar,,,7,dwd_mosmix
2022,1,1,15,29.0,isd_lite,58,isd_lite,,,50,isd_lite,11.2,isd_lite,,,1014.0,metar,,,2,dwd_mosmix
2022,1,1,16,30.0,isd_lite,55,isd_lite,,,100,isd_lite,9.4,isd_lite,,,1013.0,metar,,,7,dwd_mosmix
2022,1,1,17,32.0,isd_lite,52,isd_lite,,,140,isd_lite,7.6,isd_lite,,,1012.0,metar,,,2,dwd_mosmix
2022,1,1,18,32.0,isd_lite,56,isd_lite,,,160,isd_lite,11.2,isd_lite,,,1011.0,metar,,,2,dwd_mosmix
2022,1,1,19,32.0,isd_lite,52,isd_lite,,,200,isd_lite,14.8,isd_lite,,,1010.0,metar,,,2,dwd_mosmix
2022,1,1,20,31.0,isd_lite,55,isd_lite,,,210,isd_lite,14.8,isd_lite,,,1009.0,metar,,,1,dwd_mosmix
2022,1,1,21,31.0,isd_lite,55,isd_lite,,,230,isd_lite,13.0,isd_lite,,,1009.0,metar,,,1,dwd_mosmix
2022,1,1,22,30.0,isd_lite,59,isd_lite,,,210,isd_lite,13.0,isd_lite,,,1009.0,metar,,,1,dwd_mosmix
2022,1,1,23,29.0,isd_lite,66,isd_lite,,,230,isd_lite,11.2,isd_lite,,,1010.0,metar,,,1,dwd_mosmix
2022,1,2,0,26.0,isd_lite,74,isd_lite,,,240,isd_lite,7.6,isd_lite,,,1010.0,metar,,,1,dwd_mosmix
2022,1,2,1,25.0,isd_lite,78,isd_lite,,,340,metar,3.6,isd_lite,,,1011.0,metar,,,1,dwd_mosmix
2022,1,2,2,25.0,isd_lite,78,isd_lite,,,340,isd_lite,7.6,isd_lite,,,1012.0,metar,,,7,dwd_mosmix
2022,1,2,3,24.0,isd_lite,83,isd_lite,,,40,metar,1.8,isd_lite,,,1012.0,metar,,,7,dwd_mosmix
2022,1,2,4,23.0,isd_lite,88,isd_lite,,,40,isd_lite,5.4,isd_lite,,,1012.0,metar,,,18,dwd_mosmix
2022,1,2,5,23.0,isd_lite,88,isd_lite,,,70,isd_lite,5.4,isd_lite,,,1012.0,metar,,,18,dwd_mosmix
2022,1,2,6,22.0,isd_lite,94,isd_lite,,,80,isd_lite,9.4,isd_lite,,,1012.0,metar,,,8,dwd_mosmix
2022,1,2,7,23.0,isd_lite,88,isd_lite,,,80,isd_lite,7.6,isd_lite,,,1011.0,metar,,,8,dwd_mosmix
2022,1,2,8,23.0,isd_lite,88,isd_lite,,,60,isd_lite,5.4,isd_lite,,,1011.0,metar,,,8,dwd_mosmix
2022,1,2,9,24.0,isd_lite,83,isd_lite,,,70,isd_lite,5.4,isd_lite,,,1011.0,metar,,,8,dwd_mosmix
2022,1,2,10,24.0,isd_lite,83,isd_lite,,,60,isd_lite,5.4,isd_lite,,,1012.0,metar,,,8,dwd_mosmix
2022,1,2,11,23.0,isd_lite,88,isd_lite,,,80,isd_lite,5.4,isd_lite,,,1012.0,metar,,,8,dwd_mosmix
2022,1,2,12,23.0,isd_lite,88,isd_lite,,,70,isd_lite,5.4,isd_lite,,,1012.0,metar,,,8,dwd_mosmix
2022,1,2,13,23.0,isd_lite,88,isd_lite,,,80,isd_lite,5.4,isd_lite,,,1013.0,metar,,,8,dwd_mosmix
2022,1,2,14,27.0,isd_lite,70,isd_lite,,,30,isd_lite,5.4,isd_lite,,,1013.0,metar,,,8,dwd_mosmix
2022,1,2,15,29.0,isd_lite,66,isd_lite,,,110,isd_lite,5.4,isd_lite,,,1014.0,metar,,,8,dwd_mosmix
2022,1,2,16,30.0,isd_lite,55,isd_lite,,,118,dwd_mosmix,5.4,isd_lite,,,1013.0,metar,,,8,dwd_mosmix
2022,1,2,17,32.0,isd_lite,56,isd_lite,,,200,isd_lite,7.6,isd_lite,,,1012.0,metar,,,8,dwd_mosmix
2022,1,2,18,32.0,isd_lite,49,isd_lite,,,210,isd_lite,13.0,isd_lite,,,1012.0,metar,,,7,dwd_mosmix
2022,1,2,19,32.0,isd_lite,52,isd_lite,,,200,isd_lite,11.2,isd_lite,,,1011.0,metar,,,7,dwd_mosmix
2022,1,2,20,31.0,isd_lite,55,isd_lite,,,240,isd_lite,11.2,isd_lite,,,1010.0,metar,,,7,dwd_mosmix
2022,1,2,21,31.0,isd_lite,55,isd_lite,,,230,isd_lite,9.4,isd_lite,,,1010.0,metar,,,7,dwd_mosmix
2022,1,2,22,31.0,isd_lite,55,isd_lite,,,230,isd_lite,11.2,isd_lite,,,1011.0,metar,,,7,dwd_mosmix
2022,1,2,23,29.0,isd_lite,66,isd_lite,,,230,isd_lite,11.2,isd_lite,,,1011.0,metar,,,18,dwd_mosmix
2022,1,3,0,27.0,isd_lite,74,isd_lite,,,230,isd_lite,5.4,isd_lite,,,1012.0,metar,,,7,dwd_mosmix
2022,1,3,1,26.0,isd_lite,74,isd_lite,,,260,isd_lite,5.4,isd_lite,,,1013.0,metar,,,18,dwd_mosmix
2022,1,3,2,25.0,isd_lite,84,isd_lite,,,30,metar,1.8,isd_lite,,,1014.0,metar,,,18,dwd_mosmix
2022,1,3,3,25.0,isd_lite,84,isd_lite,,,30,isd_lite,5.4,isd_lite,,,1014.0,metar,,,7,dwd_mosmix
2022,1,3,4,25.0,isd_lite,84,isd_lite,,,350,metar,3.6,isd_lite,,,1014.0,metar,,,18,dwd_mosmix
2022,1,3,5,25.0,isd_lite,89,isd_lite,,,350,isd_lite,7.6,isd_lite,,,1014.0,metar,,,8,dwd_mosmix
2022,1,3,6,24.0,isd_lite,94,isd_lite,,,70,metar,3.6,isd_lite,,,1014.0,metar,,,8,dwd_mosmix
2022,1,3,7,24.0,isd_lite,94,isd_lite,,,70,isd_lite,5.4,isd_lite,,,1013.0,metar,,,8,dwd_mosmix
2022,1,3,8,24.0,isd_lite,94,isd_lite,,,60,isd_lite,5.4,isd_lite,,,1013.0,metar,,,8,dwd_mosmix
2022,1,3,9,25.0,isd_lite,84,isd_lite,,,20,metar,3.6,isd_lite,,,1013.0,metar,,,8,dwd_mosmix
2022,1,3,10,25.0,isd_lite,84,isd_lite,,,20,isd_lite,11.2,isd_lite,,,1013.0,metar,,,8,dwd_mosmix
2022,1,3,11,24.0,isd_lite,89,isd_lite,,,70,isd_lite,7.6,isd_lite,,,1013.0,metar,,,8,dwd_mosmix
2022,1,3,12,23.0,isd_lite,88,isd_lite,,,70,isd_lite,7.6,isd_lite,,,1014.0,metar,,,8,dwd_mosmix
2022,1,3,13,23.0,isd_lite,94,isd_lite,,,70,isd_lite,5.4,isd_lite,,,1014.0,metar,,,8,dwd_mosmix
2022,1,3,14,26.0,isd_lite,79,isd_lite,,,40,isd_lite,7.6,isd_lite,,,1014.0,metar,,,8,dwd_mosmix
2022,1,3,15,29.0,isd_lite,70,isd_lite,,,110,isd_lite,5.4,isd_lite,,,1014.0,metar,,,7,dwd_mosmix
2022,1,3,16,31.0,isd_lite,55,isd_lite,,,110,isd_lite,7.6,isd_lite,,,1014.0,metar,,,7,dwd_mosmix
2022,1,3,17,32.0,isd_lite,56,isd_lite,,,110,isd_lite,5.4,isd_lite,,,1013.0,metar,,,7,dwd_mosmix
2022,1,3,18,32.0,isd_lite,56,isd_lite,,,150,isd_lite,9.4,isd_lite,,,1012.0,metar,,,7,dwd_mosmix
2022,1,3,19,31.0,isd_lite,62,isd_lite,,,150,metar,11.2,isd_lite,,,1011.0,metar,,,2,dwd_mosmix
2022,1,3,20,31.0,isd_lite,55,isd_lite,,,150,isd_lite,9.4,isd_lite,,,1010.0,metar,,,2,dwd_mosmix
2022,1,3,21,31.0,isd_lite,55,isd_lite,,,170,isd_lite,7.6,isd_lite,,,1010.0,metar,,,2,dwd_mosmix
2022,1,3,22,31.0,isd_lite,52,isd_lite,,,200,isd_lite,7.6,isd_lite,,,1011.0,metar,,,2,dwd_mosmix
2022,1,3,23,30.0,isd_lite,59,isd_lite,,,230,isd_lite,7.6,isd_lite,,,1011.0,metar,,,2,dwd_mosmix
2022,1,4,0,28.0,isd_lite,66,isd_lite,,,240,isd_lite,7.6,isd_lite,,,1012.0,metar,,,18,dwd_mosmix
2022,1,4,1,27.0,isd_lite,74,isd_lite,,,260,isd_lite,5.4,isd_lite,,,1012.0,metar,,,18,dwd_mosmix
2022,1,4,2,27.0,isd_lite,70,isd_lite,,,330,isd_lite,9.4,isd_lite,,,1013.0,metar,,,7,dwd_mosmix
2022,1,4,3,25.0,isd_lite,78,isd_lite,,,320,isd_lite,5.4,isd_lite,,,1013.0,metar,,,7,dwd_mosmix
2022,1,4,4,27.0,isd_lite,66,isd_lite,,,20,isd_lite,7.6,isd_lite,,,1013.0,metar,,,2,dwd_mosmix
2022,1,4,5,23.0,isd_lite,83,isd_lite,,,50,isd_lite,5.4,isd_lite,,,1013.0,metar,,,8,dwd_mosmix
2022,1,4,6,26.0,isd_lite,70,isd_lite,,,70,isd_lite,7.6,isd_lite,,,1015.1,dwd_mosmix,,,8,dwd_mosmix
2022,1,4,7,27.0,isd_lite,66,isd_lite,,,60,isd_lite,9.4,isd_lite,,,1012.0,metar,,,8,dwd_mosmix
